AQD CODE,DESCRIPTION,1ST,2ND CODE,2ND TITLE,3RD CODE,3RD TITLE,OFFICER AWARDING CRITERIA,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILIING PREREQUISITE,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,DESIGNATOR_20,DESIGNATOR_21,DESIGNATOR_22,DESIGNATOR_23,DESIGNATOR_24,DESIGNATOR_25,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,PRIMARY CONSULTANT_1,PRIMARY CONSULTANT_2,PRIMARY CONSULTANT_3,PRIMARY CONSULTANT_4,PRIMARY CONSULTANT_5,AUXILIARY CONSULTANT_1,AUXILIARY CONSULTANT_2,AUXILIARY CONSULTANT_3,AUXILIARY CONSULTANT_4,AUXILIARY CONSULTANT_5,AUXILIARY CONSULTANT_6,,,,,,,,,,
ACQUISITION,"The Acquisition section has undergone significant revisions from its previous format.  The only acceptable AQD code combinations are as indicated in the table.  Combinations using the old format are invalid or not allowed due to policy and expected career progression. All acquisition codes are required to be identified and managed by the Defense Acquisition Workforce Improvement Act of 1990 (DAWIA).
FIRST CHARACTER (always ""A"" for acquisition codes).  Used to identify acquisition related requirements in billets and earned certifications in officer records.  
SECOND CHARACTER (relates to the DAWIA career field).  Used to identify the specific acquisition career field as referenced by the ASN(RDA) DAWIA Operating Guide.
THIRD CHARACTER (indicates assignment responsibility and officer certification level).  
- For assignment responsibility: Used to identify whether the assignment is a key leadership position (""K”) (assignments requiring special attention with regard to qualifications, accountability, and tenure), critically coded (""C""), or non-critically coded (""N"").  Refer to ASN(RDA) DAWIA Operating Guide for specific criteria for placement in billets. 
- For officer certification level: Used to indicate the level of certification obtained by the officer (""1, 2, or 3"").
",A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA2,,A,A,Program Management,2,Level 2 Functional Area Certified,Received Acquisition Practitioner Certification in Program Management.,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,PERS-4,,,,,,,,,,,,,
AA4,,A,A,Program Management,4,Level 4 Functional Area Certified,Received Acquisition Advanced Certification in Program Management.,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,PERS-4,,,,,,,,,,,,,
AAC,,A,A,Program Management,,Critical Acquisition Position (CAP),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,Active and Reserve,"Billets coded with AAC require an officer who is eligible to receive the AAC code upon assignment.

The officer will be required to earn the AA2 code within 60 months of assignment.  

If billet is designated MPM-Equivalent the officer must earn AA4 within 48 months of assignment.
",There may be exceptions in which an officer may be detailed to an AAC billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O4 TO 09,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
AAK,,A,A,Program Management,K,Key Leadership Position (KLP),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,Active,"Assistant Secretary of the Navy (Research, Development, and Acquisition) and/or Director, Acquisition Talent Management (DATM) approval is required prior to:

(a) The assignment of AAK to any billet

AND
 
(b) The assignment of any individual to a billet coded AAK.

Billets coded with AAK require an officer who is eligible to receive the AAK code upon assignment.

AND

(c) Officer must have completed all mandatory courses required for the AA4 code prior to assignment

AND

(d)  Officer must earn the AA4 code within the following timeframes:
• ACAT I MPM: Upon reporting to assignment
• ACAT I DPM: Within 24 months of reporting to assignment
• ACAT II MPM: Within 24 months of reporting to assignment
• ACAT II DPM: Within 48 months of reporting to assignmen
",There may be exceptions in which an officer may be detailed to an AAK billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,"This billet is a Critical Acquisition/Key Leadership Position, requires a minimum 3-4 year tenure agreement, and includes a statutory training requirement within six months of assignment.)","Assistant Secretary of the Navy (Research, Development, and Acquisition) and/or Director, Acquisition Talent Management (DATM) approval is required prior to: (a) The assignment of AAK to any billet, and (b) The assignment of any individual to a billet coded AAK.
",ALL,,,,,,,,,,,,,,,,,,,,,,,,,O5 TO O9,,,Active Only,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
AAN,,A,A,Program Management,N,Non-Critical Acquisition Billet,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,Active and Reserve,"Billets coded with AAN require an officer who is eligible to receive the AAN code upon assignment.

The officer will be required to earn the AA2 code within 60 months of assignment.
",There may be exceptions in which an officer may be detailed to an AAC billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,W2TO O9,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
AB2,,A,B,Business - Cost Estimating,2,Level 2 Functional Area  Certified,Received Acquisition Practitioner Certification in Business-Cost Estimating. ,,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,,,,,,,,,,,,,,
AB3,,A,B,Business - Cost Estimating,3,Level 3 Functional Area Certified,"Received Acquisition Advanced Certification in Business-Cost Estimating.
Supersedes AB2 Qualification.
",,,,ALL,,,,,,,,,,,,,,,,,,,W2 TO O9,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATM,,,,,BUPERS - 311,BUPERS - 315,,,,,,,,,,,,,,
ABC,,A,B,Business - Cost Estimating,C,Critical Acquisition Position (CAP),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billets coded with ABC require an officer who is eligible to receive the ABC code upon assignment.

The officer will be required to earn the AB3 code within 48 months of assignment.
",There may be exceptions in which an officer may be detailed to an ABC billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,This billet is a Critical Acquisition Billet and requires a minimum 3-year tenure agreement,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,O4 TO O9,,,Active and Reserve,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
ABK,,A,B,Business - Cost Estimating,K,Key Leadership Position (KLP),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,"Assistant Secretary of the Navy (Research, Development, and Acquisition) and/or Director, Acquisition Talent Management (DATM) approval is required prior to:

(a) The assignment of ABK to any billet

AND
 
(b) The assignment of any individual to a billet coded ABK.
",(a) Billets coded with ABK require an officer who is eligible to receive the ABK code upon assignment.,There may be exceptions in which an officer may be detailed to an ABK billet without having first been awarded a prerequisite AQD code.  This authority resides with ASNRDA and BUPERS 31.,(This billet is a Critical Acquisition/Key Leadership Billet and requires a minimum 3 year tenure agreement.),ALL,,,,,,,,,,,,,,,,,,,,,,,,,O5 TO O9,,,Active Only,DATM,,,,,PERS - 44,,,,,,,,,,,,,,,
