AQD CODE,DESCRIPTION,CODE,TITLE,OFFICER AWARDING CRITERIA,NOTE,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,GRADES,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILING PREREQUISITES,DESIGNATOR_1,DESIGNATOR_2,,GRADES,MANPOWER TYPE,PRIMARY CONSULTANTS_1,PRIMARY CONSULTANTS_2,PRIMARY CONSULTANTS_3,AUXILIARY CONSULTANTS_1,AUXILIARY CONSULTANTS_2,AUXILIARY CONSULTANTS_3,AUXILIARY CONSULTANTS_4,AUXILIARY CONSULTANTS_5,AUXILIARY CONSULTANTS_6,,
ENGINEERING DUTY,"AQD Codes in the 800 series are used to modify 144X and 146X officer designators when the officer qualifications pertain to an engineering duty specialty.

These AQD codes are assigned to officers by PERS-4.
",8,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,,800,Registered Professional Engineer (PROENG),"Qualified by reason of special knowledge of the mathematical and physical sciences and the principles and methods of engineering analysis and design acquired by professional education and practical experience.

This qualification is attested by legal registration as a Professional Engineer in any of the fifty states, the District of Columbia, Puerto Rico, Guam, and the Panama Canal Zone.
",,144X,146X,,,O2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,NAVSEA 00T,,,BUPERS - 311,BUPERS -315,PERS - 445,,,,,
801,,801,SWO-EDO TCT Program Candidate,Designated as a SWO-EDO TCT program candidate upon selection.,,1110,,,,O1  TO O6,Indefinite,Active,N/A,,,,,,NAVSEA 00T,,,BUPERS - 311,BUPERS -315,PERS - 445,,,,,
SUPPLY CORPS,AQD codes in the 900-949 series are entered by detailing officer on the records of Supply Corps officers to reflect proficiency acquired through performance in specific functional areas. These AQD codes are assigned to officers by PERS-4; and assigned to billets by N12.,900-949,,,,,,,,,,,,,,,,,,,,,,,,,,,
9X1,,9X1,"Director, Logistics Readiness Center, Maritime Operations Center
(SC LRCMOC DIR)
","(a) Served 18 months in an approved Director, Maritime Operations Center, Logistics Readiness Center billet IAW OPNAV M-3500.42; 
AND
(b) Demonstrated proficiency in Logistics Readiness Center management and in meeting mission essential tasks as identified by OPNAV M-3500.42.
",,310X,651X,,,O3 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,CPF N4,USFF,OPNAV N4L,,,
903,,903,"Auditing
(SC AUDIT)
","Completed an auditing assignment in the Naval Audit Service, on an Inspector General's staff or in internal auditing of a large command.",,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
910,,910,"Food Service Operations 
(SC FOODSRVOPS)
","(a) Completed an assignment involving subsistence policy at NFSSO, DPSC, Food Management Teams or multiple food service assignments.
OR
(b) Served as Food Service Officer of a large ship or major station.
",,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
918,,918,"Supply Corps Officer Contingency Operations Assignment 
(SC JNTTADTOPS)
",Completed 120 days or more of a TAD/TDY overseas assignment in support of contingency operations not to include routine operational tour deployment cycles.,,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
919,,919,"Supply Corps Officer Contingency Operations Assignment Level 2 
(SC 2JNTTADTOPS)
","Completed two 6 months (120 consecutive days each) or one 12 months (240 consecutive days) OCONUS TAD/TDY contingency operation assignment(s), or equivalent assignment as defined by community precedence or standard.",,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
920,,920,"Transportation Management
(SC TRNMGT)
","Officer has had broad general experience in the transportation area through a series of tours in various segments of the area; or served in a transportation internship program or policy billet at USTRANSCOM, AMC, ARTRANS, MTMC, NAVSUP, or a major staff.",,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
928,,928,"Completed First Operational Tour
(COMP1 OPTOUR)
","Successfully served for a minimum of 24 months in a Supply Corps designated first operational tour as identified by the cognizant type commander (typically billets sea/shore code ""2"" or ""4"").","Credit for 18 months for officers who have earned their warfare device, if available, may approved by Director, Supply Corps Personnel, in exceptional circumstances; however, this is not intended to allow for the award of both 928 and 929 for split tour assignments that lack increasing responsibility or complexity.",310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
929,,929,"Completed Second Operational Tour
(COMP2 OPTOUR)
","(a) Been previously awarded AQD 928.
AND
(b) Successfully served for a minimum of 24 months in a Supply Corps designated second operational tour as identified by the cognizant type commander.
","Credit for 18 months for officers who have earned their warfare device, if available, may approved by Director, Supply Corps Personnel, in exceptional circumstances; however, this is not intended to allow for the award of both 928 and 929 for split tour assignments that lack increasing responsibility or complexity.",310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
92A,,92A,"Assignment Second Operational Tour
(ASGN2 OPTOUR)
",Been assigned in a Supply Corps designated second operational tour as identified by the cognizant type commander (typically billets sea/shore code “2” or “4” non-conventional / expeditionary support tour.,,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,,,,,,
