1. Designator Codes and Descriptions,,,,
a. Unrestricted Line,,,,
Billet Code,Billet,Officer Code,Officer,Officer Community Manager (OCM)
,Description,,Description,
1000,Billet which may be filled by any appropriately skilled and experienced Unrestricted Line Officer or Special Duty Officer ,N/A,N/A,DCNO (Manpower)
1020,Billet which may be filled by any appropriately skilled and experienced Special Duty Officer (IP) or Unrestricted Line Officer ,N/A,N/A,"DCNO (Manpower) (Space, Information Warfare Command and Control)"
1050,Unrestricted Line Officer billet requiring an officer qualified in any one of the warfare specialties (LT and above),N/A,N/A,DCNO (Manpower)
1100,Unrestricted Line Officer billet requiring Fleet Support specialty,110X,An Unrestricted Line Officer who is not qualified in any warfare specialty or in training for any warfare specialty,DCNO (Manpower)
1110,Unrestricted Line Officer billet requiring Surface Warfare qualification or afloat billets leading to such qualification,111X,An Unrestricted Line Officer who is qualified in Surface Warfare,ACNO (Surface warfare)
1120,Unrestricted Line Officer billet requiring Submarine Warfare qualification or afloat billets leading to such qualification,112X,An Unrestricted Line Officer who is qualified in Submarine Warfare,ACNO (Undersea Warfare)
1130,Unrestricted Line Officer billet requiring Special Warfare (SEAL) qualification,113X,An Unrestricted Line Officer who is qualified in Special Warfare,ACNO (Expeditionary Warfare
1140,Unrestricted Line Officer billet requiring Explosive Ordnance Disposal (EOD) Warfare Qualification ,114X,An Unrestricted Line Officer who is qualified in Explosive Ordnance Disposal (EOD) Warfare,ACNO (Expeditionary Warfare
1160,Unrestricted Line Officer billet for an officer in training for Surface Warfare qualification,116X,Unrestricted Line Officer who is in training for Surface Warfare qualification,ACNO (Surface warfare)
1170,Unrestricted Line Officer billet for an officer in training for Submarine Warfare qualification,117X,Unrestricted Line Officer who is in training for Submarine Warfare qualification,ACNO (Undersea Warfare)
1180,Unrestricted Line Officer billet for a student in training for Special Warfare qualification,118X,Unrestricted Line Officer who is in training for Special Warfare qualification,ACNO (Expeditionary Warfare)
1190,Unrestricted Line Officer billet for an officer in training for Explosive Ordnance Disposal (EOD) qualification,119X,Unrestricted Line Officer who is in training for Explosive Ordnance Disposal qualification,ACNO (Expeditionary Warfare)
,,,,
b. Restricted Line (Human Resources),,,,
1200,"Special Duty Officer - Restricted Line Officer Billet requiring Human Resources specialty - Plan, program, and execute life-cycle management of our Navy's most important resource - people.",120X,"Special Duty Officer - Human Resource Officer A Restricted Line Officer of the Human Resources Community who will plan, program and execute life-cycle management of our Navy's most important resource - people.",DCNO (Manpower)
1210,"Restricted Line Officer Billet (Nuclear Power School Instructor) regulated by Program Authorization 100B attached to Nuclear Power School, Charleston, SC. ",121X,Restricted Line Officer (Nuclear Power School Instructor) regulated by Program Authorization 100B.  ,"DCNO (M&P), N133C"
1230,Restricted Line Officer Billet (Permanent Military Professor) regulated by OPNAVINST 1520.40,1230,Restricted Line Officer (Permanent Military Professor) regulated by OPNAVINST 1520.40,"DCNO (Manpower), BUPERS 311-HR"
1280,Special Duty Officer-Restricted Line Officer Billet Requiring Recruiting Specialty of a permanent Recruiter (LT and LCDR),128X,Special Duty Officer-Permanent Professional Recruiter Officer (Reserve Recruiting) (LT and LCDR),BUPERS-315
,,,,
c. Unrestricted Line (Aviation),,,,
